Trial: 0, LR: 0.058016149869490725, Optimizer: Adagrad, Batch size: 16, Dropout rate: 0.35026819847323704, FC1 units: 4096, FC2 units: 1024, Val Accuracy: 16.409769978657813
Trial: 1, LR: 8.053068721656408e-05, Optimizer: Adam, Batch size: 16, Dropout rate: 0.4846101766758995, FC1 units: 1536, FC2 units: 1792, Val Accuracy: 15.650936684847048
Trial: 2, LR: 5.636127102697782e-06, Optimizer: SGD, Batch size: 32, Dropout rate: 0.25185515179233625, FC1 units: 1024, FC2 units: 1536, Val Accuracy: 16.409769978657813
Trial: 3, LR: 2.5566225768556914e-05, Optimizer: Adagrad, Batch size: 256, Dropout rate: 0.3654210938943001, FC1 units: 2048, FC2 units: 1536, Val Accuracy: 16.421626748873607
Trial: 4, LR: 0.0004027860004117835, Optimizer: Adamax, Batch size: 256, Dropout rate: 0.2768563199536166, FC1 units: 2560, FC2 units: 512, Val Accuracy: 13.054304007588334
Trial: 5, LR: 0.020312711205165514, Optimizer: Adagrad, Batch size: 16, Dropout rate: 0.344262796324296, FC1 units: 2560, FC2 units: 1536, Val Accuracy: 17.156746502252787
Trial: 6, LR: 0.0022503343041057116, Optimizer: Adam, Batch size: 64, Dropout rate: 0.12790349324429234, FC1 units: 1536, FC2 units: 2048, Val Accuracy: 22.101019682238558
Trial: 7, LR: 8.621309496165717e-06, Optimizer: Adam, Batch size: 64, Dropout rate: 0.4467981682061107, FC1 units: 3584, FC2 units: 1792, Val Accuracy: 14.524543514346693
Trial: 8, LR: 0.04062664053013826, Optimizer: SGD, Batch size: 256, Dropout rate: 0.48411291751726787, FC1 units: 4096, FC2 units: 768, Val Accuracy: 21.543751482096276
Trial: 9, LR: 0.0056359999157900905, Optimizer: SGD, Batch size: 32, Dropout rate: 0.11616851232846426, FC1 units: 2048, FC2 units: 768, Val Accuracy: 15.235949727294285
Trial: 10, LR: 0.0012613920102162433, Optimizer: RMSprop, Batch size: 64, Dropout rate: 0.04588040596328474, FC1 units: 1024, FC2 units: 2048, Val Accuracy: 20.464785392459095
Trial: 11, LR: 0.004560842724610267, Optimizer: SGD, Batch size: 128, Dropout rate: 0.15738625676789825, FC1 units: 3584, FC2 units: 1024, Val Accuracy: 13.528574816220061
Trial: 12, LR: 0.08227374177059375, Optimizer: Adam, Batch size: 64, Dropout rate: 0.16439939271522339, FC1 units: 3072, FC2 units: 512, Val Accuracy: 16.409769978657813
Trial: 13, LR: 0.007168475399243276, Optimizer: RMSprop, Batch size: 256, Dropout rate: 0.003824272703704862, FC1 units: 4096, FC2 units: 1024, Val Accuracy: 16.4334835190894
Trial: 14, LR: 0.0009517618745350877, Optimizer: Adamax, Batch size: 128, Dropout rate: 0.09867513250773587, FC1 units: 1536, FC2 units: 2048, Val Accuracy: 13.718283139672753
Trial: 15, LR: 0.017893500846423806, Optimizer: SGD, Batch size: 256, Dropout rate: 0.20100616433607588, FC1 units: 3072, FC2 units: 1280, Val Accuracy: 16.089637182831396
Trial: 16, LR: 0.00018007191749433877, Optimizer: Adam, Batch size: 64, Dropout rate: 0.41867648424097464, FC1 units: 2048, FC2 units: 768, Val Accuracy: 14.204410718520275
